City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
67,Hambantota,6.1241,81.1185,83.19,75,55,21.47,LK,2021-05-29 03:17:00
68,Mataura,-46.1927,168.8643,49.48,93,100,4.29,NZ,2021-05-29 03:16:33
69,Haines Junction,60.7522,-137.5108,53.55,30,100,11.5,CA,2021-05-29 03:24:16
70,Port Alfred,-33.5906,26.891,61.74,67,1,20.92,ZA,2021-05-29 03:16:23
71,Castro,-24.7911,-50.0119,69.15,66,51,15.23,BR,2021-05-29 03:16:19
72,Codrington,-38.2667,141.9667,55.62,59,6,8.3,AU,2021-05-29 03:17:03
73,Georgetown,5.4112,100.3354,87.75,74,20,3.44,MY,2021-05-29 03:16:51
74,Tabas,33.5959,56.9244,85.96,19,0,1.25,IR,2021-05-29 03:24:17
75,Mar Del Plata,-38.0023,-57.5575,55.0,70,40,5.01,AR,2021-05-29 03:15:00
76,Sao Joao Da Barra,-21.6403,-41.0511,73.89,93,16,17.52,BR,2021-05-29 03:17:50
77,Belaya Gora,68.5333,146.4167,59.02,31,16,19.3,RU,2021-05-29 03:17:21
78,Taoudenni,22.6783,-3.9836,94.26,7,78,9.22,ML,2021-05-29 03:21:08
79,Upernavik,72.7868,-56.1549,28.51,94,95,7.94,GL,2021-05-29 03:16:18
80,Cape Town,-33.9258,18.4232,59.88,88,26,3.0,ZA,2021-05-29 03:12:44
81,Butaritari,3.0707,172.7902,82.89,79,100,17.05,KI,2021-05-29 03:16:25
82,Nizwa,22.9333,57.5333,91.42,14,32,3.31,OM,2021-05-29 03:24:17
83,Nishihara,26.1842,127.7558,74.86,94,75,5.77,JP,2021-05-29 03:16:56
84,Necochea,-38.5473,-58.7368,51.04,56,100,22.15,AR,2021-05-29 03:16:40
85,Provideniya,64.3833,-173.3,46.31,37,11,10.98,RU,2021-05-29 03:16:16
86,Los Llanos De Aridane,28.6585,-17.9182,62.35,83,0,10.74,ES,2021-05-29 03:17:25
87,Hobart,-42.8794,147.3294,51.06,59,75,3.0,AU,2021-05-29 03:16:17
88,Kovur,14.4833,79.9833,95.7,39,11,13.04,IN,2021-05-29 03:24:17
89,Khatanga,71.9667,102.5,47.05,61,59,16.35,RU,2021-05-29 03:16:14
90,Likasi,-10.9814,26.7333,47.55,61,0,2.77,CD,2021-05-29 03:24:18
91,Chokurdakh,70.6333,147.9167,58.14,29,49,15.48,RU,2021-05-29 03:16:43
92,Rawson,-43.3002,-65.1023,40.44,48,2,15.95,AR,2021-05-29 03:16:33
93,Mastic Beach,40.7668,-72.8521,50.04,93,90,3.0,US,2021-05-29 03:24:18
94,Tripoli,32.8752,13.1875,69.85,84,10,9.95,LY,2021-05-29 03:24:18
95,Nantucket,41.2835,-70.0995,51.85,87,90,12.66,US,2021-05-29 03:14:13
96,Acapulco,16.8634,-99.8901,82.42,73,3,2.53,MX,2021-05-29 03:17:54
97,Flin Flon,54.7682,-101.865,55.81,75,100,13.6,CA,2021-05-29 03:15:08
98,Vitoria Do Mearim,-3.4622,-44.8706,77.83,80,84,1.72,BR,2021-05-29 03:24:19
99,Labuhan,-6.8844,112.2051,86.38,66,98,6.08,ID,2021-05-29 03:24:19
100,Singkawang,0.9,109.0,87.53,62,86,3.36,ID,2021-05-29 03:24:19
101,Chara,56.9064,118.2631,56.66,49,58,2.46,RU,2021-05-29 03:24:19
102,Katsuura,35.1333,140.3,77.23,79,100,22.39,JP,2021-05-29 03:16:52
103,Barreirinhas,-2.7469,-42.8264,75.18,92,73,3.27,BR,2021-05-29 03:24:19
104,Prince George,53.9166,-122.753,61.25,46,75,3.0,CA,2021-05-29 03:24:20
105,Lompoc,34.6391,-120.4579,65.08,80,90,13.8,US,2021-05-29 03:16:50
106,Pevek,69.7008,170.3133,37.81,76,29,4.09,RU,2021-05-29 03:16:34
107,Fevik,58.3794,8.6766,51.62,74,12,6.13,NO,2021-05-29 03:24:20
108,Port Macquarie,-31.4333,152.9167,61.9,71,79,17.07,AU,2021-05-29 03:22:58
109,Talnakh,69.4865,88.3972,32.92,98,100,9.64,RU,2021-05-29 03:16:49
110,Nikolskoye,59.7035,30.7861,49.89,94,94,5.59,RU,2021-05-29 03:16:29
111,Fairbanks,64.8378,-147.7164,49.1,44,40,14.97,US,2021-05-29 03:13:47
112,Nome,64.5011,-165.4064,57.27,28,1,21.85,US,2021-05-29 03:24:20
113,Mokhotlong,-29.2894,29.0675,34.57,58,0,2.21,LS,2021-05-29 03:24:20
